 name , ra , dec , distance_Mpc
 CGCG 095-078 ,164.5092,19.5053,7.37
 LV J1207+3133 ,181.9583,31.5522,7.37
 UGC01171 ,24.9233,15.9031,7.38
 NGC4631 ,190.5333,32.5414,7.38
 MESSIER101 ,210.8033,54.3506,7.38
 HIPASS J0607-34 ,91.8321,-34.2044,7.4
 NGC2188 ,92.5396,-34.1061,7.4
 CGMW2-3473 ,126.3037,-28.1403,7.4
 ESO483-013 ,63.1713,-23.1589,7.4
 VCC2037 ,191.5637,10.2033,7.4
 UGC09660 ,225.2887,44.6981,7.4
 NGC4248 ,184.4579,47.4092,7.4
 UGC03755 ,108.4658,10.5219,7.41
 LV J1354+5438 ,208.7108,54.6472,7.41
 HIZSS008 ,111.3417,-24.4753,7.43
 KKH80 ,187.0225,22.2908,7.43
 MAPS1206+31 ,181.6438,31.3425,7.43
 LV J1342+4840 ,205.5838,48.6825,7.44
 MCG +05-28-046 ,178.8479,28.34,7.45
 KDG192 ,190.9375,53.9589,7.45
 DDO087 ,162.4021,65.5306,7.45
 NGC2787 ,139.8275,69.2033,7.48
 LV J1203+4739 ,180.75,47.6542,7.49
 VCC1675 ,189.1458,8.0547,7.5
 ESO565-003 ,140.7912,-20.1675,7.52
 UGC01104 ,23.1762,18.3158,7.55
 LV J1203+3257 ,180.7954,32.9561,7.55
 LV J1028+4240 ,157.1375,42.6689,7.55
 ESO364-029 ,91.4392,-33.0817,7.59
 ESO347-017 ,351.7337,-37.3469,7.6
 IC3583 ,189.1813,13.2594,7.6
 KDG105 ,185.4292,37.9872,7.6
 KK55 ,99.8871,-40.7203,7.65
 NGC5195 ,202.4946,47.2681,7.66
 ESO409-015 ,1.3825,-28.0981,7.7
 KKSG29 ,189.3088,-10.4975,7.7
 IC3023 ,182.5071,14.3669,7.7
 KK70 ,133.8417,33.5592,7.7
 KK69 ,133.2113,33.7978,7.7
 NGC5477 ,211.3879,54.4608,7.7
 DDO088 ,161.8429,14.0703,7.73
 UGC04115 ,119.2575,14.3908,7.73
 NGC2683 ,133.1704,33.4172,7.73
 MCG +08-25-028 ,204.1867,44.5992,7.74
 KK141 ,185.7196,33.8286,7.78
 ESO238-005 ,335.6254,-48.405,7.8
 NGC7713 ,354.0625,-37.9389,7.8
 LV J2335-3713 ,353.7671,-37.2206,7.8
 IC5332 ,353.6146,-36.1017,7.8
 MCG -04-31-038 ,197.4025,-27.1406,7.8
 ESO496-010 ,132.275,-26.32,7.8
